gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000008516.16	7	9	15	13	7	10	17	15	22	12
ENSG00000008517.16	206	159	183	154	228	265	174	220	203	124
ENSG00000008710.17	2649	1855	1703	1387	2499	3188	1225	1474	2551	1599
ENSG00000008735.13	887	603	798	686	748	881	729	914	1010	646
ENSG00000008838.17	3797	2402	3577	2902	3406	4011	2984	3655	3819	2438
ENSG00000008853.16	1242	684	413	281	1122	1296	241	277	1283	865
ENSG00000008869.11	2904	1919	1545	1411	2518	2993	1077	1267	1987	1321
ENSG00000008952.16	5828	3559	4014	3354	4631	4993	3483	3633	5047	3219
ENSG00000008988.9	10425	6830	10617	8524	8372	9573	9883	13092	9633	6428
ENSG00000009307.15	18007	11224	16917	13901	15359	17034	14416	17192	16055	10684
ENSG00000009335.17	13007	8262	8632	7111	10812	12189	6010	6890	9039	5994
ENSG00000009413.15	2106	1276	1072	881	1686	2064	458	414	1317	934
ENSG00000009694.13	1	1	1	1	3	2	4	0	2	4
ENSG00000009709.11	0	0	0	0	0	0	0	0	0	0
ENSG00000009724.16	17	13	73	72	11	15	167	201	50	27
ENSG00000009765.14	2	1	0	1	1	1	2	0	0	1
ENSG00000009780.15	329	176	195	174	292	299	168	188	271	180
ENSG00000009790.14	1	1	0	0	2	1	1	7	6	1
ENSG00000009830.11	1859	1184	1328	1023	1682	1935	728	865	1822	1188
ENSG00000009844.15	3057	1985	2137	1696	2709	2956	1211	1445	2483	1617
ENSG00000009950.15	52	43	60	43	51	45	62	71	66	31
ENSG00000009954.10	20453	12219	8199	6885	17286	18681	3684	4407	14314	9614
ENSG00000010017.12	3027	1830	2485	2022	2717	3174	1180	1451	2491	1647
ENSG00000010030.13	4	4	9	5	3	12	6	3	8	3
ENSG00000010072.15	745	494	252	217	617	674	139	183	602	421
ENSG00000010165.19	1424	897	235	190	1294	1440	107	106	1340	967
ENSG00000010219.13	634	399	465	419	556	645	429	527	652	428
ENSG00000010244.16	10567	6822	7915	6560	9600	10905	4928	5349	11216	7574
ENSG00000010256.10	5617	3550	5516	4692	5227	5943	4827	6462	5776	3751
ENSG00000010270.13	4469	2793	3183	2575	3670	4209	2376	2856	3626	2468
